주제,내용,길이
장르,"드라마,뮤지컬,음악,워맨스,코미디,학원,시대극",31
감독,박범수,3
각본,"박범수, 박성훈, 강민선",13
기획,"김이다, 이안나",8
제작,배선혜,3
출연,"이혜리,박세완,이정하,조아람外",20
촬영,박정훈,3
조명,이준일,3
미술,이봉환,3
편집,장래원,3
음악,김동욱,3
음향,"박용기, 박진홍",8
무술,임효우,3
시각효과,김정민,3
촬영 기간,2023년3월 4일~2023년7월 4일,25
제작사,안나푸르나필름,7
배급사,마인드마크,5
개봉일,2024년 08월 14일,12
화면비,1.85:1/1.33:1,13
상영 시간,120분 (1시간 59분 43초),18
제작비,83억원,4
손익분기점,200만명,5
대한민국 총 관객수,"452,360명 (2024년 9월 10일 기준)",26
스트리밍,쿠팡플레이,5
상영 등급,12세 이상 관람가,14
개요,"1999년 세기말, 남쪽 끝 거제의 교내 댄스 콤비 '필선'과 '미나'가 오직 춤을 추기 위해 결성한 치어리딩 동아리 ‘밀레니엄 걸즈’와 함께 춤과 음악으로 뜨거운 응원전을 펼치는 이야기",104
시놉시스,"스탠드 업! 텐션 업! 치얼 업!

1999년 세기말, 거제의 댄스 콤비 ‘필선'(이혜리)과 '미나’(박세완)는 댄스 연습실을 마련하기 위해 서울에서 전학온 치어리더 ‘세현'(조아람)을 내세워 치어리딩 동아리를 만든다.

그렇게 9명의 멤버들이 모여 얼렁뚱땅 탄생한 ‘밀레니엄 걸즈’. ‘치형’(이정하)의 만년 꼴찌 거제상고 축구부를 우승으로 이끌어야만 하는데…

오직 열정만큼은 충만한 생판 초짜 치어리딩 동아리 ‘밀레니엄 걸즈’의 모두를 향한 신나는 응원이 펼쳐진다!

“자, 고개 들고! 가슴 펴고!”",283
주요 등장인물,"추필선 , 장미나 , 윤치형 , 김세현",21
추필선?,우연히 치어리딩에 눈을 뜨게 된 춤생춤사 고등학생.,28
장미나?,필선의 단짝. 미나반점 7자매 중 장녀.,22
윤치형?,필선과 어린시절부터 단짝 친구인 인물. 학창시절의 멋진 추억 하나 남겨두기 위해 축구부 골키퍼로 활약하는 캐릭터다.,64
김세현?,서울에서 치어리더로 활동하다 거제로 전학 온 후 '밀레니엄 걸즈'의 멤버가 된 인물.,47
추필선 역,이혜리 배우,6
장미나 역,박세완 배우,6
윤치형 역,이정하 배우,6
김세현 역,조아람 배우,6
등장인물,"배소희, 정순정, 권용순, 염상미, 고유리, 방지혜, 김동현, 추우용, 김형우, 천진탁, 윤정진, 학주, 영어선생, 국어선생, 현대중앙고 치어리더, 연우, 선혜",89
배소희?,밀레니엄 걸즈'의 매니저.?노스트라다무스의 예언을 믿는 종말론자.,36
정순정?,'밀레니엄 걸즈'의 멤버. 방송반.,19
권용순?,'밀레니엄 걸즈'의 멤버. 비용세라는 별명을 지닌 봉구(강아지) 언니.,39
염상미?,'밀레니엄 걸즈'의 멤버. 태권도장 딸.,22
고유리?,'밀레니엄 걸즈'의 멤버이자 스타일리스트. 세탁소집 딸.,31
방지혜?,'밀레니엄 걸즈'의 멤버. 눈이 약해 태양을 피하고 싶은 각기춤 머신.,39
김동현?,서울 현대 중앙고에서 전학 온 거제상고 축구부 타겟형 스트라이커. 세현의 오빠.,44
배소희 역,최지수 배우,6
정순정 역,백하이 배우,6
권용순 역,권유나 배우,6
염상미 역,염지영 배우,6
고유리 역,이한주 배우,6
방지혜 역,박효은 배우,6
김동현 역,이찬형 배우,6
추우용?,필선 아빠. 상우조선 거제 외주인력 현장 관리 소장.,29
김형우?,상우조선 과장. 우용의 직속 상관.,19
천진탁?,현대중앙고 스트라이커.,12
윤정진 교장?,축구를 사랑하는 거제상고 교장.,17
학주?,거제상고 학주. 수학 교사.,15
영어 선생?,경상도 악센트로 영어를 구사하는 영어 교사.,24
국어 선생?,한때 좀 놀았던 전라도 출신의 거제상고 국어 교사. (우정출연),35
오코치?,패배가 더 익숙한 거제상고 축구부 코치.,22
연우?,현직 방송 댄서. 필선과 미나와 함께 거제상고에서 댄스 동아리를 했던 친구.,42
추우용 역,현봉식 배우,6
김형우 역,한종훈 배우,6
천진탁?역,차주완 배우,6
윤정진 교장?역,주진모 배우,6
학주?역,손병욱 배우,6
영어 선생?역,공훈 배우,5
국어 선생?역,이미도 배우,6
오코치?역,이시훈 배우,6
현대중앙고 치어리더?역,지이수 배우,6
연우 역,서수희 배우,6
선혜?역,정다정 배우,6
우정출연,지이수 배우. 이미도 배우,14
밀레니엄 걸즈 설정,"본래 필선과 미나는 당시 유행하던 힙합 춤을 추는 것을 좋아하던 댄스 동아리 부원이었다. 그런데 사고를 치는 바람에 댄스 동아리실을 학교로부터 압수당하게 된다. 필선과 미나는 댄스 동아리실을 학교로부터 얻어낼 궁리를 하다가 서울에서 거제 상고로 전학온 전 세현이 교실에서 치어리딩 시범을 보이는 것을 보자, 세현을 꼬셔서 세현과 함께 학교 축구부를 응원할 치어리딩 동아리를 만든다는 핑계를 대고 사실은 자기들이 힙합 춤을 계속 연습하기 위해 동아리실을 얻어낸다. 우여곡절 끝에 동아리 최소 인원을 충족하기 위해 6명의 단원을 더 뽑아서 9명의 멤버가 된 그들은 어느 순간부터 본격적으로 치어리딩 유경험자인 세현의 지시에 따라 치어리딩을 본격적으로 연습하고 있었고, 김원준의 Show에 맞춰 다음 축구부의 시합에서 처음으로 치어리딩을 선보이게 된다.",418
재현 오류 (1),"오프닝 장면에 필선과 미나가?펌프 잇 업?기체 위에서?서태지와 아이들의?하여가에 맞춰 춤추는 장면이 나오는데,?하여가는?펌프 잇 업 Perfect Collection?기체에 수록된 곡으로, 해당 기체는 2000년 12월 7일에 공식적으로 출시되었다. 즉 극중 배경인 1999년도에는 존재할 수 없는 기체 겸 수록곡이다.",178
재현 오류 (2),"작중에서 미나가?뉴에라의 PPL로 보이는 59FIFTY 계열 어센틱 모자를 쓰는 모습이 많이 잡히는데, 59FIFTY 계열 어센틱 모자에 뉴에라의 로고가 들어가기 시작한 것은 2016년 포스트시즌부터 변경된 사항이며 2015년까지만 해도 59FIFTY 계열 어센틱 모자에는 뉴에라 로고가 삽입되지 않았다. 즉 1999년이라는 배경을 생각하면 이 역시 재현 오류. 또한 작중 등장한 갈색 계열의?샌디에이고 파드리스?모자 역시 재현 오류이다. 샌디에이고 파드리스는 1999년도에 파란색 모자를 착용했기 때문.",282
재현 오류 (3),"수록곡 중 하나인?조성모의?아시나요는 2000년 9월 1일 발매된 곡으로, 극중 배경인 1999년도에는 발표되지 않은 곡이다.",70
재현 오류 (4),"밀레니엄 걸즈 멤버인 용순이 중학교 때 자신의 별명이 비용세였다고 소개하는데 1999년 당시?비욘세는?데스티니스 차일드?멤버로 미국에서 막 뜨고 있던 신인가수였고, 국내에서는 팝 매니아가 아닌 일반 대중들에게는 거의 알려지지 않았었다. 극 중에서 중학교 때라 하면 1999년보다 더 이전이므로 비용세라 불렸다는 것은 완전히 불가능하다.",187
재현 오류 (5),소희가 god의 콘서트에 가고 싶어 하는데 축구 대회 현수막으로 미루어볼 때 영화의 배경인 1999년 5~7월에 god는 1집 활동 중으로 시기상 god의 콘서트를 언급하기엔 너무 빠른 느낌이 있다. 1999년 상반기에 단독 콘서트를 할 수 있었던 아이돌은?H.O.T.와 젝스키스뿐이었으며 실제로 god는 2001년 5월에 첫 단독 콘서트를 했다.,194
삽입곡 (1),김원준-Show,10
삽입곡 (2),디바-왜불러,8
삽입곡 (3),듀스-나를 돌아봐,11
삽입곡 (4),서태지와 아이들-하여가,14
삽입곡 (5),윤수일-황홀한 고백,12
삽입곡 (6),조성모-아시나요,10
삽입곡 (7),지니- 뭐야 이건,10
삽입곡 (8),터보-Twist King,15
삽입곡 (9),NRG-할 수 있어,12
평가 (1),"시사회 평은 대부분 호평이었다. 개봉 이후에는 평가가 나뉘는 편이다. 클리셰적 전개에 대해 안정감을 느끼는 쪽에서는 호평을 하며, 반대로 클리셰적 전개를 비판 요소로 보는 쪽에서는 비판을 하는 상황이다. 다만 ""덕선과 필선, 너무 응팔 아니냐"" 같은 일반 관객들의 1차적인 반응을 그대로 모아 전달하기만 한 일부 기사의 논조는 애매한 구석이 있는데, 후술된 내용에도 있듯이 영화 자체가 실화 기반이라는 사실이 널리 알려져있는 상황에서 '실존 인물의 이름 자체가 필선이었다'는 사실을 기자가 모를 수는 없기 때문이다.",288
평가 (2),같은 시기 개봉해 높은 흥행세를 보이고 있는 유사 장르의 코믹 성장 영화 파일럿과 비교되기도 한다.,55
평가 (3),"제작사 안나푸르나필름의 이안나 대표가 영화 프로듀서로 활약하던 시절 제작했던 영화 중 하나가 써니이기도 하다보니, ""제2의 써니""라는 평가도 언론 등을 통해 자주 이야기 된다. 시대상으로는 빅토리가 써니보다 더 뒤의 시대를 다루고 있다.",132
흥행,"손익분기점은 200만명이다. 아직 초반이지만, 준수한 평가에 비해 흥행에서는 통 힘을 못 쓰고 있다. 개봉 3주차 되었음에도 손익분기점 도달은 커녕 관객수가 반타작에도 못 미쳐 흥행 실패는 확정적이다. 다만, 역주행으로 꾸준히 관객수가 증가하고 있다.",140
흥행기록,개봉 28일차에 박스오피스 1위를 기록했다.,24
영화 빅토리 여담 (1),"1984년 여름에 탄생한 거제도 섬마을의 치어걸을 모티브로 시대를 변경해 제작했다. 강민선 작가가 1986년 6월 19일 자 경향신문의 기사 <섬마을의 치어걸>을 읽고 실존인물인 ‘한필선씨’를 인터뷰해 각본 초안을 작성하였다. 각색 과정에서 한필선이 ‘추필선(혜리 분)’으로, 실제 배경인 1984년은 1999년으로, 팀명인 ’새빛들‘은 ’밀레니엄 걸즈‘로 변경되었다.경향신문",210
영화 빅토리 여담 (2),"학교신 촬영 장소가 순천금당고등학교이며, 극 중에서 미나는 중국집 딸로 나오는데, 가게 이름이 미나반점이다. 또한 중국집 장면과 일부 로케이션의 경우, 거제시 둔덕면 일대에서 촬영했다. 싸우는 장면은 전북 김제시 이삭토스트 로타리에서 촬영했다.",136
영화 빅토리 여담 (3),"윤수일의 황홀한 고백은 1990년대 노래는 아니지만, 이 노래가 나올 때의 극중의 춤 동작 중에는 1990년대 스타일로 룰라의 날개 잃은 천사에서의 엉덩이 춤 동작이 있다.",96
영화 빅토리 여담 (4),특전이나 굿즈가 적기로 유명한 마인드마크 배급이라 시그니처 굿즈 발매 가능성이 낮게 점쳐졌으나 4사 모두 시그니처 굿즈 발매가 결정되었다.,77
영화 빅토리 여담 (5),크레딧이 올라갈 때 출연자가 소개되는 시점부터 쿠키 영상이 있다.,36
영화 빅토리 여담 (6),2024년 8월 16일부터는 싱어롱 상영회가 개최되었다.,31
영화 빅토리 여담 (7),"무대인사의 팬서비스가 매우 뛰어나다고 키노라이츠의 커뮤니티에서 속속이 올라오고 있다. 특히, 몇몇의 관에서는 관객과 직접 대화를 했다.",75
